MEASURE,Measure,INDEX,Index type,SECTOR,Sector,INDUSTRY,Industry,REGION,Region,TSEST,Adjustment type,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2017-Q2,Jun-17,125.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2017-Q3,Sep-17,126.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2017-Q4,Dec-17,126.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2018-Q1,Mar-18,127.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2018-Q2,Jun-18,127.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2018-Q3,Sep-18,129,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2018-Q4,Dec-18,129.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2019-Q1,Mar-19,130,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2009-Q1,Mar-09,100.4,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2009-Q2,Jun-09,101,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2009-Q3,Sep-09,101.5,,
