MEASURE,Measure,REGION,Region,INDEX,Index,TSEST,Adjustment Type,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q2,Jun-10,95.8,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q3,Sep-10,96.3,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q4,Dec-10,96.9,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q1,Mar-11,98.5,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q2,Jun-11,99.2,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q3,Sep-11,99.8,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q4,Dec-11,99.9,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q1,Mar-12,99.9,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q2,Jun-12,100.4,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q3,Sep-12,101.6,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q4,Dec-12,102,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q1,Mar-13,102.4,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q2,Jun-13,102.6,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q3,Sep-13,104,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q4,Dec-13,104.8,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q1,Mar-14,105.3,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q2,Jun-14,105.9,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q3,Sep-14,106.1,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q4,Dec-14,106.3,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q1,Mar-15,106.4,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q2,Jun-15,107.1,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q3,Sep-15,107.6,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q4,Dec-15,108.3,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q1,Mar-16,108.2,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q2,Jun-16,108.6,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q3,Sep-16,109.1,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q4,Dec-16,109.9,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q1,Mar-17,110.9,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q2,Jun-17,111,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q3,Sep-17,111.5,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q4,Dec-17,112.3,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q1,Mar-18,113.3,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q2,Jun-18,113.8,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q3,Sep-18,114,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q4,Dec-18,114.6,,
1,Index Numbers,2,Melbourne,10001,All groups CPI,10,Original,Q,Quarterly,2019-Q1,Mar-19,114.7,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q1,Mar-09,92.4,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q2,Jun-09,92.9,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q3,Sep-09,94.2,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q4,Dec-09,94.5,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q1,Mar-10,95.2,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q2,Jun-10,95.9,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q3,Sep-10,96.9,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q4,Dec-10,97.4,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q1,Mar-11,98.6,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q2,Jun-11,99.6,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q3,Sep-11,99.9,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q4,Dec-11,99.7,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q1,Mar-12,99.9,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q2,Jun-12,100.5,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q3,Sep-12,101.6,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q4,Dec-12,101.9,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q1,Mar-13,102,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q2,Jun-13,102.5,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q3,Sep-13,103.8,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q4,Dec-13,104.6,,
